scenario,tracked_bloc,target_margin_pp,total_seats,quota,tracked_seat_share,tracked_vote_share,mean_bonus,bonus_std,pct_tracked_majority
S4_NDA_Small,NDA,3.0,574,288,0.535766550522648,0.48996296540128365,0.04580358512136452,0.0169814257434997,0.9486666666666667
S4_NDA_Small,NDA,3.0,594,298,0.5363333333333282,0.49012638161004785,0.04620695172328541,0.01686514967888521,0.956
S4_NDA_Small,NDA,3.0,614,308,0.5365352877307364,0.4900694488964875,0.04646583883423953,0.01633088416672855,0.966
S4_NDA_Small,NDA,3.0,634,318,0.5365446898002093,0.4901827634038362,0.04636192639637436,0.015886630638292265,0.9693333333333334
S4_NDA_Small,NDA,3.0,654,328,0.5366523955147812,0.4901931913910865,0.04645920412369484,0.01588985095783289,0.9726666666666667
S4_NDA_Small,NDA,3.0,674,338,0.5364282888229411,0.4902346370963256,0.046193651726621425,0.015472619102376437,0.9713333333333334
S4_NDA_Small,NDA,3.0,694,348,0.5359173871277615,0.4902202689668009,0.045697118160960615,0.015669742641609682,0.9666666666666667
S4_NDA_Small,NDA,3.0,714,358,0.536776844070963,0.4902008523980726,0.046575991672889096,0.015233873646049998,0.978
S4_NDA_Small,NDA,3.0,734,368,0.536108991825614,0.4901361727924224,0.045972819033190775,0.015284817869499154,0.9686666666666667
S4_NDA_Small,NDA,3.0,754,378,0.5368753315649932,0.49025853495597593,0.046616796609010594,0.01511481660387716,0.9766666666666667
S4_NDA_Small,NDA,3.0,774,388,0.5367295434969789,0.4902459473678109,0.04648359612917555,0.01497245452655877,0.9806666666666667
S4_NDA_Small,NDA,3.0,794,398,0.5364013434089067,0.49015511655118565,0.046246226857714796,0.014760597057103187,0.976
S4_NDA_Small,NDA,3.0,814,408,0.5366535626535627,0.49022443826597284,0.04642912438758926,0.014801280275690724,0.982
S4_NDA_Small,NDA,3.0,834,418,0.5364076738609123,0.4902162676960968,0.04619140616481432,0.013971479361265282,0.978
S4_NDA_Small,NDA,3.0,850,426,0.5360901960784222,0.4899559316708877,0.04613426440754351,0.013319070200693133,0.9886666666666667
S4_NDA_Small,NDA,3.0,854,428,0.5364387197501949,0.4901285502180618,0.04631016953213364,0.014038442151571006,0.98
S4_NDA_Small,NDA,3.0,874,438,0.5361045003813877,0.49004218665697247,0.0460623137244152,0.013682328016426912,0.9806666666666667
S4_NDA_Small,NDA,3.0,894,448,0.5360894854586132,0.4900096652501495,0.04607982020846348,0.013079273172063154,0.9873333333333333
S4_NDA_Small,NDA,3.0,914,458,0.5367840991976641,0.4901308420519444,0.04665325714572233,0.013567947179676538,0.99
S4_NDA_Small,NDA,3.0,934,468,0.5367851534618149,0.49019805667931915,0.04658709678249292,0.013301302904318113,0.9846666666666667
S4_NDA_Small,NDA,3.0,954,478,0.5367344514325645,0.49024132397912235,0.0464931274534422,0.01320420449504649,0.988
S4_NDA_Small,NDA,3.0,974,488,0.5368069815195058,0.4902035223432244,0.046603459176283286,0.013064191913756688,0.99
S4_NDA_Small,NDA,3.0,994,498,0.5366874580818238,0.4901660819696424,0.046521376112182114,0.01314751506398679,0.9873333333333333
S4_NDA_Small,NDA,3.0,1000,501,0.5369039999999993,0.49034697189869275,0.046557028101307234,0.012916082040805292,0.988
