State_Name,Year,PC_No,Party,Candidate,Sex,Total_Votes,N_Segments,PC_Name,PC_Position,PC_Total_Votes,PC_Vote_Share,N_Candidates_PC
Andaman_&_Nicobar_Islands,2009,1,BJP,SHRI. BISHNU PADA RAY,M,75209,1,Andaman,1,170099,44.214839593413245,11
Andaman_&_Nicobar_Islands,2009,1,BSP,SHRI. M. S. MOHAN,M,789,1,Andaman,8,170099,0.46384752408891294,11
Andaman_&_Nicobar_Islands,2009,1,CPI(ML)(L),SHRI. N. K. P. NAIR,M,734,1,Andaman,9,170099,0.431513412777265,11
Andaman_&_Nicobar_Islands,2009,1,CPM,SHRI TAPAN KUMAR BEPARI,M,7190,1,Andaman,3,170099,4.226950187831792,11
Andaman_&_Nicobar_Islands,2009,1,INC,SHRI. KULDEEP RAI SHARMA,M,72219,1,Andaman,2,170099,42.457039723925476,11
Andaman_&_Nicobar_Islands,2009,1,IND,DR. THANKACHAN,M,683,1,Andaman,10,170099,0.4015308731973733,11
Andaman_&_Nicobar_Islands,2009,1,IND,SHRI. T. ALI,M,398,1,Andaman,11,170099,0.23398138730974316,11
Andaman_&_Nicobar_Islands,2009,1,IND,SHRI. VAKIATH VALAPPIL KHALID,M,1480,1,Andaman,7,170099,0.8700815407497986,11
Andaman_&_Nicobar_Islands,2009,1,JDP,SHRI. PRADEEP KUMAR EKKA,M,1785,1,Andaman,6,170099,1.0493888852962099,11
Andaman_&_Nicobar_Islands,2009,1,NCP,SMTI. R. S. UMA BHARATTHY,F,4696,1,Andaman,5,170099,2.7607452130817935,11
Andaman_&_Nicobar_Islands,2009,1,RJD,SHRI. P. R. GANESHAN,M,4916,1,Andaman,4,170099,2.890081658328385,11
Andaman_&_Nicobar_Islands,2014,1,AAAP,SANJAY MESHACK,M,3725,1,Andaman,3,188650,1.9745560561887092,15
Andaman_&_Nicobar_Islands,2014,1,AIFB,A PANDIAN,M,225,1,Andaman,15,188650,0.11926848661542538,15
Andaman_&_Nicobar_Islands,2014,1,AITC,ANITA MONDAL,F,2283,1,Andaman,4,188650,1.2101775775245163,15
Andaman_&_Nicobar_Islands,2014,1,BJP,BISHNU PADA RAY,M,90882,1,Andaman,1,188650,48.17492711370262,15
Andaman_&_Nicobar_Islands,2014,1,BSP,GOUR CHANDRA MAJUMDER,M,1139,1,Andaman,8,188650,0.6037635833554201,15
Andaman_&_Nicobar_Islands,2014,1,CPI(ML)(L),N K P NAIR,M,436,1,Andaman,10,188650,0.23111582295255761,15
Andaman_&_Nicobar_Islands,2014,1,CPM,K.G.DAS,M,1776,1,Andaman,5,188650,0.9414259210177578,15
Andaman_&_Nicobar_Islands,2014,1,INC,KULDEEP RAI SHARMA,M,83144,1,Andaman,2,188650,44.073151338457464,15
Andaman_&_Nicobar_Islands,2014,1,IND,C G SAJI KUMAR,M,334,1,Andaman,13,188650,0.1770474423535648,15
Andaman_&_Nicobar_Islands,2014,1,IND,N KANNAN,M,314,1,Andaman,14,188650,0.16644579909886034,15
Andaman_&_Nicobar_Islands,2014,1,IND,PRAKASH MINJ,M,1587,1,Andaman,6,188650,0.8412403922608005,15
Andaman_&_Nicobar_Islands,2014,1,IND,SARAVANAN,M,847,1,Andaman,9,188650,0.4489795918367347,15
