State,Constituency,Predicted_Woman_Win_Prob,Predicted_Man_Win_Prob,Predicted_Gender_Gap,Empirical_Women_Win_Rate,Empirical_Men_Win_Rate,Women_Fielded,Total_Candidates,Const_Type,Potential_Score
Andhra_Pradesh,BHADRAHCALAM,0.4080438398351023,0.4099140812813564,0.0018702414462541395,0.0,0.2,0,5,ST,40.7280699333954
Andhra_Pradesh,BHEEMUNIPATNAM,0.3896765678252771,0.3915183039651178,0.0018417361398406773,0.0,0.23076923076923078,0,39,GEN,38.89588864074642
Andhra_Pradesh,BHIMAVARAM,0.33705428064511617,0.33878536370176776,0.0017310830566515945,0.0,0.1308411214953271,0,107,GEN,33.64708116907195
Andhra_Pradesh,BHIMLI,0.33801033471684144,0.3397438116208751,0.0017334769040336373,0.0,0.10344827586206896,1,30,GEN,33.742440160828515
Andhra_Pradesh,BHOGAPURAM,0.44472514863775386,0.44663666346202097,0.001911514824267102,0.0,0.35714285714285715,0,28,GEN,44.387504992340844
Andhra_Pradesh,BHONGIR,0.3438692012178368,0.34561703795438853,0.0017478367365517111,0.0,0.14814814814814814,0,81,GEN,34.32681739953796
Andhra_Pradesh,BHUPALPALLE,0.2990046316613207,0.30062891275808373,0.0016242810967630472,0.0,0.05555555555555555,0,18,GEN,29.851896409026864
Andhra_Pradesh,BOATH,0.4819865180150024,0.48391861394625335,0.0019320959312509323,0.0,0.21568627450980393,0,51,ST,48.10552738246278
Andhra_Pradesh,BOBBILI,0.3629625071943464,0.3647534416306848,0.0017909344363383761,0.0,0.18571428571428572,0,70,GEN,36.231246514111234
Andhra_Pradesh,BODHAN,0.35630294112978156,0.3580794863316331,0.0017765452018515537,0.0,0.18032786885245902,0,61,GEN,35.56699528493119
Andhra_Pradesh,BRAHMANATARLA,0.3765977508520139,0.3784159989827859,0.0018182481307719711,0.0,0.14285714285714285,0,7,GEN,37.59130026954743
Andhra_Pradesh,BUGGARAM,0.38069259466509264,0.3825184820672514,0.0018258874021587768,0.0,0.20833333333333334,0,48,GEN,37.99974928523985
Andhra_Pradesh,BURGAMPAHAD,0.5092141045223042,0.5111476470761216,0.0019335425538173912,0.0,0.23076923076923078,0,39,ST,50.82295173822063
Andhra_Pradesh,BURUGUPUDI,0.3417709123867623,0.34351366758503177,0.0017427551982694411,0.0,0.16666666666666666,0,60,GEN,34.1175289352583
Andhra_Pradesh,CHALAKURTHI,0.36235901062746506,0.3641486694668301,0.0017896588393650492,0.0,0.1875,0,48,GEN,36.171051162107204
Andhra_Pradesh,CHANDRAGIRI,0.3155454883563444,0.31721896257630156,0.0016734742199571717,0.0,0.09259259259259259,2,110,GEN,31.501743111635626
Andhra_Pradesh,CHANDRAYANGUTTA,0.3191514237593092,0.32083505760042075,0.0016836338411115315,0.0,0.0898876404494382,0,89,GEN,31.861408962182914
Andhra_Pradesh,CHARMINAR,0.3244579273882645,0.3261561446940448,0.0016982173057802918,0.0,0.11363636363636363,0,88,GEN,32.39069273209761
Andhra_Pradesh,CHEEPURUPALLE,0.34473895812412203,0.3464888811512374,0.001749923027115352,0.0,0.09523809523809523,0,21,GEN,34.413569148295686
Andhra_Pradesh,CHEEPURUPALLI,0.36482055296375177,0.36661537920927095,0.0017948262455191877,0.0,0.19298245614035087,1,58,GEN,36.41657634603876
Andhra_Pradesh,CHENNUR,0.36906941889066835,0.3708729432994376,0.0018035244087692415,0.0,0.17857142857142858,0,56,SC,36.840379318516874
Andhra_Pradesh,CHENNUR (SC),0.3246706678266091,0.32636946066865175,0.0016987928420426623,0.0,0.047619047619047616,0,21,SC,32.4119119620084
Andhra_Pradesh,CHERIYAL,0.38611318485821666,0.38794878463782,0.0018355997796033474,0.0,0.1724137931034483,0,58,GEN,38.540443558118895
Andhra_Pradesh,CHEVELLA,0.3653452238419265,0.3671411393448081,0.001795915502881551,0.0,0.1791044776119403,0,67,SC,36.468909469052505
Andhra_Pradesh,CHEYYERU,0.3740993449790052,0.37591280430936824,0.001813459330363032,0.0,0.3,0,10,GEN,37.34209310313704
Andhra_Pradesh,CHILAKALURIPET,0.311651161879069,0.3133134369805488,0.0016622751014798154,0.5,0.07692307692307693,2,119,GEN,31.113311191233013
Andhra_Pradesh,CHINNAKONDUR,0.507827038557488,0.5097607847393554,0.0019337461818673685,0.0,0.4,0,5,GEN,50.68450299606284
Andhra_Pradesh,CHINNUR,0.38259875348497346,0.38442810823257706,0.0018293547476035954,0.0,0.15873015873015872,0,63,SC,38.18988446388585
Andhra_Pradesh,CHINTALAPUDI,0.3737773698896805,0.37559020503016843,0.0018128351404879117,0.0,0.15476190476190477,0,84,SC,37.309977313882534
Andhra_Pradesh,CHINTAPALLI,0.49278314086568753,0.49471718317675034,0.0019340423110628113,0.0,0.20408163265306123,0,49,ST,49.183007742107485
Andhra_Pradesh,CHIRALA,0.3222341256195302,0.32392628467924206,0.001692159059711873,0.0,0.11290322580645161,2,126,GEN,32.168885422451474
Andhra_Pradesh,CHITTOOR,0.3340109127388956,0.33573428102486913,0.0017233682859735255,0.0,0.12745098039215685,0,102,GEN,33.34352889247123
Andhra_Pradesh,CHODAVARAM,0.3644627507351665,0.3662568317048419,0.0017940809696754267,0.0,0.18309859154929578,0,71,GEN,36.38088750499169
Andhra_Pradesh,CHOPPADANDI,0.3535965265202973,0.35536702723388447,0.001770500713587142,0.0,0.13846153846153847,0,65,SC,35.29704836177712
Andhra_Pradesh,CUDDAPAH,0.3077532743184155,0.3094041040258477,0.0016508297074322442,0.0,0.08571428571428572,0,105,GEN,30.72452260706111
Andhra_Pradesh,CUDDAPAM,0.3548491344315573,0.3566224468487092,0.0017733124171518955,0.0,0.125,0,8,GEN,35.421987605525416
Andhra_Pradesh,CUMBUM,0.3258264540690183,0.3275283614234683,0.0017019073544500274,0.0,0.125,0,56,GEN,32.527192763056384
Andhra_Pradesh,DARSI,0.3310843192363784,0.3328001330640768,0.0017158138276984203,0.0,0.125,0,112,GEN,33.051624018329846
Andhra_Pradesh,DENDULUR,0.3612193776903474,0.363006612293977,0.0017872346036296172,0.0,0.2,0,55,GEN,36.057379391903766
Andhra_Pradesh,DENDULURU,0.3302539238379639,0.33196756992095744,0.001713646082993514,0.0,0.1111111111111111,2,29,GEN,32.96879854949857
Andhra_Pradesh,DEVARAKONDA,0.4725378318518504,0.47446674373377085,0.0019289118819204587,0.0,0.14285714285714285,0,7,ST,47.16263480133344
Andhra_Pradesh,DEVARKADRA,0.3123945769699473,0.3140590081518954,0.0016644311819480895,0.0,0.07142857142857142,0,14,GEN,31.18746176949671
Andhra_Pradesh,DEVARKONDA,0.418691331921138,0.42057570231880415,0.0018843703976661463,0.0,0.2,0,5,GEN,41.79023623695064
Andhra_Pradesh,DEVERKONDA,0.46788401006465885,0.469810845582478,0.0019268355178191365,0.0,0.18,0,50,ST,46.69824745358466
Andhra_Pradesh,DHAMAVARAM,0.3428240739418667,0.3445693881852247,0.0017453142433579982,0.0,0.15625,0,32,GEN,34.222573820265
Andhra_Pradesh,DHARMAPURI,0.42735456546185063,0.42924913489679906,0.0018945694349484232,0.0,0.16666666666666666,0,6,SC,42.6544912564241
Andhra_Pradesh,DHARMAPURI (SC),0.4566160860018756,0.4585365049814789,0.0019204189796033222,0.0,0.2,0,5,SC,45.57391918039254
Andhra_Pradesh,DHARMAVARAM,0.31831057705080185,0.31999185989560025,0.001681282844798404,0.0,0.1,1,71,GEN,31.777540693828843
Andhra_Pradesh,DHONA,0.29172894953449385,0.29333024558405313,0.0016012960495592754,0.0,0.058823529411764705,0,17,GEN,29.126180512006215
Andhra_Pradesh,DHONE,0.3641261740771469,0.3659195521683052,0.0017933780911582597,0.0,0.16091954022988506,0,87,GEN,36.347315817413964
